                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                  0.485,                0.60774,                0.29296,                0.82078,                0.94804,                 0.9301,                0.96918,                0.86284,                0.94813,                0.93055,                0.96868,                0.74914,                0.52259,                0.85288,                0.30629,                0.87184,              0.0095842,              0.0095842,              0.0095842
                     44,                0.49945,                0.62332,                 0.2938,                0.81976,                0.94628,                0.93518,                0.97047,                0.86035,                0.94446,                0.93514,                0.96859,                0.73574,                0.53255,                0.85266,                0.30524,                0.87497,              0.0095743,              0.0095743,              0.0095743
                     45,                0.49846,                0.60737,                0.29559,                0.81994,                 0.9452,                0.93288,                0.96994,                0.86327,                0.94645,                 0.9319,                0.96893,                0.76113,                0.53322,                0.87548,                0.30758,                0.87574,              0.0095644,              0.0095644,              0.0095644
                     46,                0.49756,                0.62294,                0.28852,                0.82089,                0.94493,                0.93411,                0.97088,                0.86448,                0.94438,                0.93356,                0.96975,                0.74156,                 0.5279,                0.83739,                0.30703,                0.87115,              0.0095545,              0.0095545,              0.0095545
                     47,                0.49354,                0.61977,                0.28929,                0.82205,                0.94965,                 0.9308,                0.97129,                0.86345,                0.94985,                0.93129,                0.97081,                0.76195,                0.53804,                0.85343,                0.31255,                0.87211,              0.0095446,              0.0095446,              0.0095446
                     48,                0.49659,                 0.6141,                0.29207,                0.81893,                 0.9451,                0.93255,                0.97069,                0.86927,                 0.9469,                0.93161,                0.96998,                0.75074,                0.51807,                 0.8554,                0.30292,                0.87227,              0.0095347,              0.0095347,              0.0095347
                     49,                0.49689,                0.61958,                0.29171,                0.82072,                0.94853,                0.93062,                0.96856,                0.85783,                0.94912,                 0.9295,                0.96744,                0.73766,                0.52788,                0.84408,                0.30906,                0.87107,              0.0095248,              0.0095248,              0.0095248
                     50,                0.49394,                0.62089,                0.29256,                0.82095,                0.94257,                0.93785,                0.96879,                0.86164,                0.94241,                0.93626,                 0.9679,                0.75539,                0.53089,                0.85243,                0.31102,                0.87601,              0.0095149,              0.0095149,              0.0095149
                     51,                0.49483,                0.61065,                0.29905,                0.82039,                0.94887,                0.93218,                 0.9694,                0.86163,                0.94864,                0.93269,                0.96941,                0.74318,                0.52656,                0.86375,                0.30623,                0.87216,               0.009505,               0.009505,               0.009505
                     52,                0.49582,                0.61937,                0.28938,                0.81964,                0.95061,                0.93541,                0.97152,                0.86457,                0.95199,                0.93351,                0.97126,                0.76469,                  0.532,                0.86023,                 0.3057,                0.87284,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.4972,                 0.6247,                0.29171,                0.82309,                0.94862,                0.93436,                0.97075,                0.86336,                0.94796,                0.93411,                0.96954,                0.74227,                0.52837,                0.84855,                0.30993,                0.87287,              0.0094852,              0.0094852,              0.0094852
                     54,                0.49387,                0.61493,                0.29387,                 0.8207,                0.94824,                0.93192,                0.97005,                0.86618,                0.94849,                0.93273,                0.96987,                0.75852,                0.51999,                0.86955,                0.30218,                0.87142,              0.0094753,              0.0094753,              0.0094753
                     55,                0.48989,                0.61398,                0.28904,                0.82072,                0.94577,                 0.9363,                0.97093,                0.86381,                0.94593,                0.93671,                0.97016,                0.75082,                0.52086,                0.85624,                 0.3037,                0.87017,              0.0094654,              0.0094654,              0.0094654
                     56,                0.49447,                0.61033,                0.29016,                0.81939,                0.94713,                0.93319,                0.97189,                0.86807,                0.94625,                0.93307,                0.97073,                0.74332,                0.52739,                0.84017,                0.30612,                0.87225,              0.0094555,              0.0094555,              0.0094555
                     57,                0.50448,                0.62009,                0.29752,                0.82142,                0.94806,                0.93589,                0.97171,                0.86885,                0.94736,                0.93622,                 0.9704,                0.75855,                0.52303,                 0.8556,                0.30159,                0.87393,              0.0094456,              0.0094456,              0.0094456
                     58,                0.49518,                0.60809,                0.28827,                0.82006,                0.94492,                0.93444,                 0.9697,                0.86091,                 0.9453,                0.93362,                0.96866,                0.73487,                0.53417,                0.86829,                0.31238,                0.87576,              0.0094357,              0.0094357,              0.0094357
                     59,                0.48716,                0.61075,                0.28902,                0.82045,                0.94653,                0.93125,                0.96983,                0.86266,                0.94702,                0.93173,                0.96989,                0.74568,                0.52644,                0.86501,                0.30694,                0.87352,              0.0094258,              0.0094258,              0.0094258
                     60,                0.49272,                0.61653,                0.29073,                0.82189,                0.94326,                0.93733,                0.97034,                0.86488,                0.94285,                0.93692,                0.96933,                0.75976,                0.52203,                0.87814,                0.30545,                0.87042,              0.0094159,              0.0094159,              0.0094159
                     61,                0.48894,                0.60941,                0.28521,                0.81955,                0.94767,                0.93464,                0.97108,                0.86706,                0.94637,                0.93305,                0.96953,                0.74537,                0.52354,                0.86792,                  0.304,                0.87265,               0.009406,               0.009406,               0.009406
