                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.0285,                 1.3887,                 1.5041,                0.82592,                0.64407,                0.37398,                0.41268,                0.30594,                0.61037,                0.35362,                  0.373,                0.20434,                 1.0189,                 1.5081,                 1.0692,                0.81956,             0.00034357,             0.00034357,             0.00034357
                     40,                 1.0809,                 1.5043,                 1.4949,                0.82654,                0.47482,                 0.4469,                 0.4278,                0.31776,                0.44782,                0.42259,                0.38831,                0.21135,                 1.0047,                 1.4419,                 1.0823,                0.81881,             0.00034322,             0.00034322,             0.00034322
                     41,                 1.0809,                 1.4799,                 1.4254,                 0.8294,                0.51474,                 0.4601,                0.44348,                0.32623,                0.48081,                0.43235,                0.39657,                0.21672,                 1.0166,                 1.4268,                 1.0458,                0.81743,             0.00034286,             0.00034286,             0.00034286
                     42,                 1.0789,                 1.4594,                 1.4389,                0.82298,                0.54681,                0.43989,                0.45719,                0.33687,                0.47614,                0.41395,                0.41391,                0.22277,                 1.0058,                 1.4577,                 1.0599,                0.81786,             0.00034251,             0.00034251,             0.00034251
                     43,                 1.0172,                 1.4034,                 1.4219,                0.82463,                0.57032,                 0.4434,                0.46052,                0.34723,                0.53973,                0.41761,                0.42183,                0.23736,                 1.0134,                 1.4544,                 1.0957,                0.81762,             0.00034216,             0.00034216,             0.00034216
                     44,                 1.0249,                 1.4218,                 1.4366,                0.82929,                 0.4841,                0.45733,                0.45186,                0.33705,                0.45607,                0.43047,                0.41133,                0.22324,                 1.0119,                 1.4429,                 1.0413,                 0.8186,              0.0003418,              0.0003418,              0.0003418
                     45,                 1.0216,                 1.3989,                 1.3443,                0.82337,                0.54675,                0.47052,                0.44746,                0.33536,                0.51275,                0.43388,                0.40075,                 0.2195,                 1.0439,                 1.5217,                 1.0492,                0.82145,             0.00034145,             0.00034145,             0.00034145
                     46,                 1.0935,                  1.508,                 1.2843,                0.82314,                0.58862,                0.42469,                0.44445,                0.32797,                0.54506,                0.39251,                0.39624,                0.21162,                 1.0373,                 1.4344,                 1.0404,                0.81913,              0.0003411,              0.0003411,              0.0003411
                     47,                  1.077,                 1.4599,                 1.3716,                0.82504,                0.56773,                  0.486,                0.48569,                0.36669,                0.52874,                0.45428,                0.44447,                0.24323,                0.99451,                 1.4734,                 1.0094,                0.81796,             0.00034074,             0.00034074,             0.00034074
                     48,                 1.0548,                 1.3955,                  1.301,                0.82389,                 0.6142,                0.46024,                0.49669,                0.37968,                0.58112,                0.43393,                0.45739,                0.26356,                 1.0321,                 1.4382,                0.98321,                0.81669,             0.00034039,             0.00034039,             0.00034039
