                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.7104,                 1.5329,                0.92882,                0.66313,                0.43233,                0.45732,                0.23769,                 1.6662,                 1.2305,                0.94013,             0.00034039,             0.00034039,             0.00034039
                     49,                 1.7528,                 1.5547,                0.93857,                0.67622,                0.42295,                0.46097,                0.23823,                 1.6771,                 1.2778,                0.94307,             0.00034004,             0.00034004,             0.00034004
                     50,                   1.67,                 1.4487,                0.92513,                0.56273,                0.49948,                 0.4968,                0.25409,                 1.6983,                 1.2642,                0.95234,             0.00033968,             0.00033968,             0.00033968
                     51,                 1.7393,                  1.558,                0.94332,                0.53748,                0.51778,                0.48043,                0.24622,                 1.6583,                 1.2019,                0.94386,             0.00033933,             0.00033933,             0.00033933
                     52,                 1.7967,                 1.4952,                 0.9278,                0.53555,                 0.5285,                0.46065,                0.23092,                 1.7053,                 1.2079,                0.95267,             0.00033898,             0.00033898,             0.00033898
                     53,                  1.722,                 1.4733,                0.93028,                0.52301,                0.55275,                0.50897,                0.25471,                 1.6982,                 1.1974,                0.95243,             0.00033862,             0.00033862,             0.00033862
                     54,                 1.6992,                 1.3626,                0.92805,                0.58051,                0.52432,                0.50449,                0.25863,                 1.6738,                 1.1425,                0.94806,             0.00033827,             0.00033827,             0.00033827
                     55,                 1.7439,                 1.4553,                0.94279,                0.56585,                0.52654,                0.50974,                 0.2586,                 1.6724,                 1.1553,                0.95058,             0.00033791,             0.00033791,             0.00033791
                     56,                 1.7319,                 1.4941,                0.93235,                0.57165,                 0.5235,                0.49309,                0.25403,                 1.6445,                 1.1745,                0.94604,             0.00033756,             0.00033756,             0.00033756
                     57,                 1.7118,                  1.419,                0.93133,                0.57231,                0.52862,                0.51374,                0.25862,                 1.6664,                 1.1286,                0.95287,             0.00033721,             0.00033721,             0.00033721
                     58,                 1.7264,                 1.3939,                0.92875,                0.62918,                0.50355,                0.50365,                 0.2584,                 1.6391,                 1.1287,                0.94436,             0.00033685,             0.00033685,             0.00033685
                     59,                 1.7341,                  1.449,                0.93619,                0.60325,                0.55226,                0.50716,                0.25289,                  1.677,                 1.1755,                0.94879,              0.0003365,              0.0003365,              0.0003365
                     60,                 1.7612,                   1.44,                 0.9308,                0.60879,                0.52445,                0.49766,                0.25638,                 1.6561,                 1.1395,                0.95527,             0.00033615,             0.00033615,             0.00033615
                     61,                 1.6927,                 1.3844,                0.92428,                0.57401,                0.52769,                0.50375,                 0.2609,                  1.655,                 1.1078,                0.94963,             0.00033579,             0.00033579,             0.00033579
                     62,                 1.7062,                 1.3526,                0.91806,                0.58012,                0.58553,                0.53288,                0.26937,                 1.6584,                 1.1248,                0.94658,             0.00033544,             0.00033544,             0.00033544
                     63,                 1.7012,                 1.3673,                0.92723,                0.56651,                0.59893,                0.54474,                 0.2728,                  1.649,                 1.0885,                0.95159,             0.00033509,             0.00033509,             0.00033509
                     64,                 1.6757,                  1.328,                0.91603,                0.58309,                0.56338,                0.54183,                0.27378,                  1.636,                 1.0848,                0.94644,             0.00033473,             0.00033473,             0.00033473
                     65,                 1.6919,                 1.3406,                0.92971,                0.66656,                0.52813,                0.51957,                0.26511,                 1.6516,                 1.1016,                0.95288,             0.00033438,             0.00033438,             0.00033438
                     66,                 1.7264,                 1.3326,                0.92446,                0.63489,                0.55989,                0.55039,                 0.2796,                 1.6468,                 1.0771,                0.95341,             0.00033403,             0.00033403,             0.00033403
                     67,                 1.6987,                 1.2792,                0.91286,                0.60871,                0.50525,                0.51808,                0.26095,                 1.6585,                 1.0987,                0.95337,             0.00033367,             0.00033367,             0.00033367
                     68,                 1.7306,                 1.3225,                0.92362,                0.59523,                0.54206,                0.55035,                0.27756,                 1.6498,                 1.0787,                0.95396,             0.00033332,             0.00033332,             0.00033332
                     69,                 1.6499,                 1.2344,                0.93519,                0.74599,                 0.5298,                0.57318,                0.28742,                 1.6654,                  1.047,                0.95576,             0.00033297,             0.00033297,             0.00033297
                     70,                 1.7085,                 1.2849,                0.92926,                 0.6868,                0.54037,                0.56746,                0.28545,                 1.6321,                  1.035,                0.95033,             0.00033261,             0.00033261,             0.00033261
                     71,                 1.6917,                   1.29,                 0.9194,                0.65362,                 0.5287,                0.55388,                0.26926,                 1.7039,                 1.0488,                0.95785,             0.00033226,             0.00033226,             0.00033226
                     72,                   1.66,                 1.2481,                0.92903,                0.70131,                0.52164,                0.56281,                0.28413,                  1.627,                 1.0371,                0.94483,             0.00033191,             0.00033191,             0.00033191
                     73,                 1.7405,                 1.2604,                0.92175,                0.69712,                0.55921,                0.60141,                0.30266,                 1.6351,                0.99577,                0.94948,             0.00033155,             0.00033155,             0.00033155
                     74,                 1.6297,                 1.2487,                0.91964,                 0.7202,                0.57148,                 0.5767,                0.29083,                 1.6336,                 1.0159,                0.95345,              0.0003312,              0.0003312,              0.0003312
                     75,                 1.6447,                  1.196,                0.92219,                0.68456,                0.55692,                0.53892,                0.27424,                 1.6578,                 1.0464,                0.95208,             0.00033085,             0.00033085,             0.00033085
                     76,                 1.6421,                 1.2638,                0.92369,                0.66051,                0.60325,                0.57219,                0.28601,                 1.6759,                 1.0469,                0.95965,             0.00033049,             0.00033049,             0.00033049
                     77,                  1.645,                 1.2021,                0.92599,                0.67491,                 0.5456,                0.56496,                0.28543,                 1.6577,                 1.0182,                0.95833,             0.00033014,             0.00033014,             0.00033014
                     78,                 1.6423,                 1.2374,                0.91567,                 0.6758,                0.53521,                0.55645,                0.28455,                 1.6248,                 1.0243,                0.95275,             0.00032979,             0.00032979,             0.00032979
