                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1359,                0.55287,                0.81176,                 0.9882,                0.97831,                0.98986,                0.72284,                 1.1845,                0.53603,                0.81467,              0.0015762,              0.0015762,              0.0015762
                     57,                 1.1033,                0.54651,                 0.8142,                 0.9882,                0.97778,                0.99004,                0.71624,                 1.1904,                0.52223,                0.81813,              0.0015746,              0.0015746,              0.0015746
                     58,                 1.0957,                0.54281,                 0.8118,                0.98257,                0.97216,                0.98661,                0.74714,                 1.1453,                0.54224,                0.82103,              0.0015729,              0.0015729,              0.0015729
                     59,                 1.0869,                 0.5368,                0.81547,                0.98605,                0.97954,                0.99065,                0.74901,                 1.1095,                0.53881,                0.81135,              0.0015713,              0.0015713,              0.0015713
                     60,                 1.0914,                0.54595,                0.81364,                0.98406,                0.98164,                0.98996,                 0.7364,                 1.1484,                0.53315,                0.82127,              0.0015696,              0.0015696,              0.0015696
                     61,                 1.1213,                0.55249,                0.81074,                0.98745,                0.97961,                0.99099,                0.75131,                 1.1388,                0.51723,                0.81173,               0.001568,               0.001568,               0.001568
                     62,                 1.1196,                0.54284,                 0.8135,                0.98385,                0.97987,                0.98812,                0.75446,                 1.1241,                0.51912,                0.81738,              0.0015663,              0.0015663,              0.0015663
                     63,                 1.0555,                0.52984,                0.80894,                0.98768,                0.97935,                0.99093,                0.76197,                  1.086,                0.51082,                0.81071,              0.0015647,              0.0015647,              0.0015647
                     64,                 1.0653,                0.53306,                0.81141,                0.98851,                  0.977,                0.99037,                0.74873,                 1.0771,                0.50658,                0.81054,               0.001563,               0.001563,               0.001563
                     65,                 1.0741,                0.53557,                0.81147,                0.95579,                0.97517,                0.98902,                0.77405,                0.97164,                0.51818,                0.80494,              0.0015614,              0.0015614,              0.0015614
                     66,                 1.0495,                0.52088,                0.80925,                0.98718,                0.97595,                0.98968,                0.72034,                 1.1953,                0.55797,                0.81707,              0.0015597,              0.0015597,              0.0015597
                     67,                 1.0137,                0.51468,                0.80749,                0.99044,                0.97935,                0.98845,                 0.7434,                 1.1053,                0.50693,                0.81433,              0.0015581,              0.0015581,              0.0015581
                     68,                 1.0384,                0.51361,                 0.8076,                0.99165,                 0.9764,                 0.9908,                0.73268,                 1.0544,                0.48689,                0.80721,              0.0015564,              0.0015564,              0.0015564
                     69,                  1.028,                0.51768,                0.80348,                0.98479,                0.97637,                0.98698,                0.71835,                 1.1672,                0.54018,                0.81659,              0.0015548,              0.0015548,              0.0015548
                     70,                 1.0557,                0.51524,                0.80975,                0.98939,                0.97857,                0.98858,                0.73967,                 1.1145,                0.51788,                0.81394,              0.0015531,              0.0015531,              0.0015531
                     71,                 1.0722,                0.51535,                0.80771,                0.98601,                  0.977,                 0.9887,                0.73267,                 1.0748,                0.48913,                0.80958,              0.0015515,              0.0015515,              0.0015515
                     72,                 1.0148,                0.50035,                0.80739,                 0.9805,                0.98292,                0.98782,                0.75052,                 1.0464,                0.48021,                0.80726,              0.0015498,              0.0015498,              0.0015498
                     73,                 1.0377,                0.50637,                0.80651,                0.98431,                0.97752,                0.98793,                0.73433,                  1.193,                0.52702,                0.81732,              0.0015482,              0.0015482,              0.0015482
                     74,                 1.0052,                0.49827,                0.80596,                0.98787,                0.97581,                0.99097,                 0.7663,                 1.0152,                0.47802,                0.80629,              0.0015465,              0.0015465,              0.0015465
                     75,                 1.0048,                0.49581,                0.80385,                 0.9734,                 0.9723,                0.98734,                0.74977,                 1.1295,                 0.5809,                0.81455,              0.0015449,              0.0015449,              0.0015449
                     76,                 1.0253,                0.49554,                0.80776,                0.98732,                0.97726,                0.99027,                0.74096,                 1.1018,                0.49477,                0.80955,              0.0015432,              0.0015432,              0.0015432
                     77,                 1.0585,                0.49799,                0.80336,                0.98494,                0.97731,                0.98937,                0.74299,                 1.1018,                0.48483,                0.81112,              0.0015416,              0.0015416,              0.0015416
                     78,                 1.0387,                0.50174,                0.80874,                 0.9845,                0.97857,                0.98865,                0.75635,                 1.0569,                0.49469,                0.80795,              0.0015399,              0.0015399,              0.0015399
                     79,                 1.0385,                0.50453,                0.80884,                0.97052,                 0.9689,                0.98414,                0.72797,                 1.2176,                0.58343,                0.82013,              0.0015383,              0.0015383,              0.0015383
                     80,                 1.0181,                  0.494,                0.80551,                0.98346,                0.97871,                0.98921,                0.75375,                 1.0361,                0.47323,                0.80777,              0.0015366,              0.0015366,              0.0015366
                     81,                 1.0148,                0.49229,                0.80797,                0.98605,                0.97736,                0.99132,                0.78497,                0.95171,                 0.4549,                0.80238,               0.001535,               0.001535,               0.001535
                     82,                 1.0403,                0.49798,                0.81088,                0.98119,                0.97778,                0.98952,                0.73919,                 1.1284,                0.52632,                0.81267,              0.0015333,              0.0015333,              0.0015333
                     83,                 0.9983,                0.48439,                0.80551,                0.98509,                0.98014,                0.99139,                0.77467,                 1.0238,                0.47528,                0.80878,              0.0015317,              0.0015317,              0.0015317
                     84,                0.99453,                0.48418,                0.80756,                0.99024,                0.97909,                0.99252,                0.77544,                 1.0186,                0.47748,                0.80511,                0.00153,                0.00153,                0.00153
                     85,                0.97886,                0.47814,                0.80552,                  0.988,                0.97933,                0.99261,                0.75745,                 1.0988,                0.48507,                0.81212,              0.0015284,              0.0015284,              0.0015284
                     86,                 1.0061,                0.48461,                0.80663,                0.98716,                0.97841,                0.99067,                0.74433,                 1.0948,                0.48756,                0.81183,              0.0015267,              0.0015267,              0.0015267
                     87,                 1.0358,                0.49971,                0.80405,                0.98243,                0.97404,                 0.9879,                0.74704,                 1.1234,                0.52966,                0.81325,              0.0015251,              0.0015251,              0.0015251
                     88,                0.99556,                0.48175,                0.80721,                0.98588,                0.97619,                0.99144,                0.74109,                 1.1255,                0.51003,                0.81174,              0.0015234,              0.0015234,              0.0015234
                     89,                 1.0283,                0.49086,                0.80628,                0.98454,                0.97961,                0.99049,                0.76166,                 1.0095,                0.48522,                0.80328,              0.0015218,              0.0015218,              0.0015218
                     90,                  1.043,                0.49551,                0.80929,                0.98886,                0.97607,                0.98812,                0.72531,                  1.227,                0.52777,                0.82074,              0.0015201,              0.0015201,              0.0015201
                     91,                 1.0095,                0.48099,                 0.8045,                0.99027,                0.98118,                0.99193,                0.76962,                0.99996,                0.47813,                0.80381,              0.0015185,              0.0015185,              0.0015185
                     92,                 1.0714,                0.50302,                0.80594,                0.98949,                 0.9789,                0.99077,                 0.7135,                  1.235,                0.56105,                0.81557,              0.0015168,              0.0015168,              0.0015168
                     93,                 1.0163,                0.48188,                0.80613,                 0.9856,                0.98069,                0.99164,                0.78076,                0.97601,                0.45971,                0.80313,              0.0015152,              0.0015152,              0.0015152
